id,name,year_published,image_url,source,source_url,source_notes
7af60167-bdae-4371-8a87-014b03577c10,Outnumbered: Improbable Heroes,2021,https://cf.geekdo-images.com/gq_Ed5w1dpJHYiEdlyLw0g__original/img/0W50w-GspNUML14_0JJ9o0kOHkg=/0x0/filters:format(jpeg)/pic5754070.jpg,legacy_unknown,,
283de0b6-c845-4ffa-a865-ab44698df540,The New Zealand Investment Game,,https://cf.geekdo-images.com/Jr2Md-RfHafqv7ca7kESvQ__original/img/aD0cQtHCB5QBSfwvxLMFSVRza4I=/0x0/filters:format(jpeg)/pic2378535.jpg,legacy_unknown,,
95d44058-f76a-4264-8f41-396d2d0d44ff,"Winged Horse: Campaigns in Vietnam, 1965-66",2006,https://cf.geekdo-images.com/zV7BaND4eygrW23ruZKlbg__original/img/xRJLTqgzAw4VG8oa0zURT70pKdI=/0x0/filters:format(jpeg)/pic152718.jpg,legacy_unknown,,
583194c5-f78c-4296-8270-549a498f1c87,Sakura Arms,2016,https://cf.geekdo-images.com/IMslo9J8RnWXQospAjO6Dw__original/img/DPPq9spt37SJlliXpyqKXFVwu_4=/0x0/filters:format(jpeg)/pic3545811.jpg,legacy_unknown,,
7afafe58-552a-488d-8806-3f77656187cd,Street Illegal,2002,https://cf.geekdo-images.com/MVP3qX5uWsMAIw-p3Y2cBQ__original/img/Q7pZYJZhSTW1e32izXr9efbesgQ=/0x0/filters:format(jpeg)/pic93982.jpg,legacy_unknown,,
a113ebc2-5f66-4a5b-aed8-50c0bb1a5777,Abilene,1983,https://cf.geekdo-images.com/55ovACb7a7ezkvYg1bDoyg__original/img/rCDQj1Q3ltSc4f7NIRRR5_u5FXA=/0x0/filters:format(jpeg)/pic147699.jpg,legacy_unknown,,
6d6a53b3-81df-4774-b90c-f650f4fd558c,Diana Jones Award for Excellence in Gaming No,2013,https://cf.geekdo-images.com/Ytnrgdu_QFBo6xY79WC7aA__original/img/8ACjWUFZxuxlYKJu9cX1Hjoigmo=/0x0/filters:format(png)/pic2454364.png,legacy_unknown,,
739c2bc9-fd1d-456a-8271-3fdb5b3c821e,Abandon All Artichokes,2020,https://cf.geekdo-images.com/qwFz_zhMjIxRjgAIx__8WQ__original/img/pxX6W95d3V38ZuynABAtorApTc8=/0x0/filters:format(png)/pic5335069.png,legacy_unknown,,
8b7b5356-c4ae-4072-871f-c0f7261d745f,878 Vikings: Invasions of England,2017,https://cf.geekdo-images.com/YjEcFRuLQ_fpm-00u0DIQA__original/img/JUbzEvwZs65nOjhDGQPqpIJI84s=/0x0/filters:format(jpeg)/pic6421377.jpg,legacy_unknown,,
0ace42f9-1693-4f9c-950a-a01a60e4145b,Deckscape: Escape from Alcatraz,2020,https://cf.geekdo-images.com/M82NQOw2Jzwp_3K_9CUduA__original/img/Nmw5XaUmS1s-DUdS7L3ugD7deqw=/0x0/filters:format(png)/pic5176436.png,legacy_unknown,,
