id,name,year_published,source,source_url,source_notes,source_confidence
2aad25f8-06a9-4279-b265-3aaa520d6762,1914: Fureur à l'Est,2021,legacy_unknown,,,0.1
ea8493aa-265e-40e1-b0bf-4d950263487a,1914: Nach Paris,2022,legacy_unknown,,,0.1
92ee82a9-356e-4cda-ae1e-3b7b1b6f2fc4,1914: Twilight in the East,2007,legacy_unknown,,,0.1
cb5770e6-6673-4d5c-ac87-6c4228470588,1918: Storm in the West,1992,legacy_unknown,,,0.1
60bb08b0-5dda-47e9-b0c3-3679080c8d3d,1918/1919: Storm in the West,2020,legacy_unknown,,,0.1
647198d9-f754-4f30-8539-ea02138424f5,1920 Wall Street,2017,legacy_unknown,,,0.1
7b2f2628-10e1-4b43-b014-561efa3e0660,1923 Cotton Club,2021,legacy_unknown,,,0.1
f0b3a9a1-7514-4e8c-9c07-c78163359aa2,1944: Race to the Rhine,2014,legacy_unknown,,,0.1
8b09f222-358c-4101-8285-edfe7747c420,1960: The Making of the President,2007,legacy_unknown,,,0.1
5f65c238-8f46-46fb-801b-4266c4316002,1969,2012,legacy_unknown,,,0.1
5ff9777a-e874-4aca-b4b6-cb662521a7a2,1979: Revolution in Iran,2021,legacy_unknown,,,0.1
0cf6ebac-ad5c-4479-80ca-bc08c0de24d3,1985: Deadly Northern Lights,2020,legacy_unknown,,,0.1
2b6a83a8-efb4-4e42-a37f-8ff07390532f,1985: Sacred Oil,2021,legacy_unknown,,,0.1
d63c08b3-8df7-4d0a-baf6-de72497bc237,1987 Channel Tunnel,2019,legacy_unknown,,,0.1
c224cb9e-2127-4105-924c-906ee60102e4,1989: Dawn of Freedom,2012,legacy_unknown,,,0.1
2c60f755-24f2-492e-a5e4-f3458258ebdc,1998 ISS,2022,legacy_unknown,,,0.1
765d4066-2c67-41f7-b4c0-c66a2e25d465,1ers Contacts,2025,legacy_unknown,,,0.1
ee41a896-ae92-41ac-8438-6e9b5607b894,1st & Goal,2011,legacy_unknown,,,0.1
ec956196-a84a-4d98-bac2-81602a9506f8,2 de Mayo,2008,legacy_unknown,,,0.1
