game_name,mentions,users,mapped_rankings
G.I. JOE: Battle for the Arctic Circle,1,zekewest,6
G.I. Joe: Mission Critical,1,zekewest,10
Galactic Duel,1,zekewest,6
Galactic Strike Force,1,zekewest,7
Galilean Moons,1,zekewest,7
Garbage Day,1,zekewest,6
Gasha,1,zekewest,6
Gears of War,1,zekewest,7
Gearworks,1,zekewest,7
Gen7,1,zekewest,4
Get on Board: New York & London/Paris & Roma.,1,waynekin,7
Ghosts Love Candy Too,1,zekewest,7
Ghoul Island – Act I: Voyage to Farzeen,1,zekewest,9
Gnomi,1,zekewest,4
Godfather: A New Don,1,zekewest,7
Godsforge,1,zekewest,4
Going Concern,1,zekewest,5
Golem Solo,1,zekewest,9
GoTown,1,zekewest,4
GoVenture,1,zekewest,3
Grackles,1,zekewest,8
Grand Prix,1,zekewest,8
Great Scott!,1,zekewest,8
Greece Lightning,1,zekewest,5
Green Deal,1,zekewest,6
Gudnak,1,zekewest,8
Guild Academies of Valeria,1,zekewest,5
Guildmaster’s Guide to Ravnica,1,zekewest,8
Guilty: Houston 2015,1,zekewest,8
Guilty: Monaco 1955,1,zekewest,8
Gunrunners,1,zekewest,7
Gut Check,1,zekewest,6
H.I.D.E.: Hidden Identity Dice Espionage,1,zekewest,6
Hamsterrolle,1,zekewest,7
Happy Home,1,zekewest,6
Happy Party,1,zekewest,6
Harrow County,1,zekewest,8
Harry Potter: House Cup Competition,1,zekewest,4
Harvest + Fall Festival Expansion,1,zekewest,8
Head Hackers,1,zekewest,4
Head of Mousehold,1,zekewest,5
Head Trip,1,zekewest,7
Heaven and Ale,1,zekewest,7
Hedgehog Hop,1,zekewest,7
Hegemonic,1,zekewest,7
Heir to the Pharoah,1,zekewest,7
Hello Kitty: Day at the Park,1,zekewest,6
Hengist,1,zekewest,3
Herbaceous: Pocket Edition,1,zekewest,8
Herbalism,1,zekewest,9
Hero’s Crossing,1,zekewest,8
Heroes Welcome,1,zekewest,8
Hex Roller,1,zekewest,8
Hexes of Sygon,1,zekewest,6
Hippo,1,zekewest,5
Hispania,1,zekewest,8
Holding On: The Troubled Life of Billy Kerr,1,zekewest,6
Holly Jolly,1,zekewest,6
Horizon Wars: Zero Dark,1,zekewest,9
Horizon Zero Dawn: The Board Game,1,zekewest,8
Horrified: Dungeons and Dragons,1,zekewest,8
Horus Heresy: Age of Darkness,1,zekewest,9
Hoyuk,1,zekewest,7
Humble Tea Party,1,zekewest,5
Hundred Days 20,1,zekewest,8
"I Say, Holmes!",1,zekewest,5
Ice Cool,1,zekewest,9
Ice Hoppers,1,zekewest,6
Imagineers,1,zekewest,8
Immersive Battle Maps,1,zekewest,9
Impact: Battle of the Elements,1,zekewest,7
In a Flash Firefighters,1,zekewest,7
Incantris,1,zekewest,4
Incorporated,1,zekewest,5
Incredibrawl,1,zekewest,6
Indiana Jones Cryptic,1,zekewest,7
Indiana Jones: Sands of Adventure,1,zekewest,6
Infiltration,1,zekewest,7
Infinity Essentials,1,zekewest,7
Ink Monsters,1,zekewest,5
Invasion of the Brood,1,zekewest,8
Islands in the Mist,1,zekewest,4
Isle Of Cats,1,zacheturner_50_1,8
Isle of Monsters,1,zekewest,4
It’s a Small World,1,zekewest,6
Ivion,1,zekewest,9
Ixi Kix,1,zekewest,4
Jabuka,1,zekewest,4
Japanime Tactics: Granblue Fantasy,1,zekewest,7
Jewel Thief,1,zekewest,5
Jinja,1,zekewest,5
Judge Dredd: The Cursed Earth,1,zekewest,5
Jumanji Fluxx,1,zekewest,7
Jungle Ascent,1,zekewest,8
Jungle Cruise Adventure Game,1,zekewest,8
Junior Detective,1,zekewest,6
Jurassic Parts,1,zekewest,7
Jurassic World: The Legacy of Isla Nublar,1,zekewest,4
Kamikaze Chess,1,zekewest,4
Kartel,1,zekewest,3
Karuba: The Card Game,1,zekewest,6
Katmai: The Bears of Brooks River,1,zekewest,6
Keepers of the Questar,1,zekewest,6
Kill Doctor Lucky: Deluxe 19.5th Anniversary Edition,1,zekewest,8
Kilter,1,zekewest,7
King Chocolate,1,zekewest,7
King Frog,1,zekewest,6
King Me,1,zekewest,8
Kings of Artifice,1,zekewest,7
Kingsport Festival: The Card Game,1,zekewest,5
Knot Dice,1,zekewest,8
Knuckling Knights,1,zekewest,6
Koi,1,zekewest,7
Konja,1,zekewest,6
Kronologic: Cuzco 1450,1,zekewest,8
Kung Fu Panda: The Board Game,1,zekewest,8
Kyoto No Neko,1,zekewest,8
Lanterns.,1,waynekin,6
Last Defense,1,zekewest,7
Layers,1,zekewest,5
Legacies,1,zekewest,6
Legendary Showdown,1,zekewest,7
Legends Untold: The Great Sewers Novice Set,1,zekewest,6
Life in Reterra,1,zekewest,7
Lindisfarne,1,zekewest,7
Line of Fire: Burnt Moon,1,zekewest,7
Little Book of Battle Mats,1,zekewest,4
Long Cow,1,zekewest,7
Longboard,1,zekewest,5
Loose Caboose,1,zekewest,7
Lorcana,1,zekewest,8
Lord of the Rings Adventure to Mount Doom,1,zekewest,8
Lord of the Rings: The One Ring RPG,1,zekewest,9
Lords and Ladies,1,zekewest,6
Lost Woods,1,zekewest,7
Lucidity: Six Sided Nightmares,1,zekewest,8
Lucky Dogs,1,zekewest,6
Lucky Jack,1,zekewest,4
Lunar Skyline,1,zekewest,5
Machina Arcana,1,zekewest,9
Machinate,1,zekewest,4
Macroscope,1,zekewest,6
Manhattan Project: War Machine,1,zekewest,6
Marbleous,1,zekewest,6
Mars Open,1,zekewest,7
Marvel Battleworld,1,zekewest,5
Marvel Contest of Champions: Battlerealm,1,zekewest,3
Marvel Dice Masters,1,zekewest,8
Marvel Dice Throne X-Men,1,zekewest,9
Marvel: Age of Heroes,1,zekewest,7
Marvel: Damage Control,1,zekewest,3
Mass Effect: The Board Game – Priority: Hagalaz,1,zekewest,4
Master of Orion: Conquest,1,zekewest,4
Master of Wills,1,zekewest,5
Masters of the Universe: Battleground,1,zekewest,8
Masters of the Universe: Clash for Eternia,1,zekewest,9
Mean Girls: The Party Game,1,zekewest,8
Meeple Towers,1,zekewest,7
Mega Man Adventures,1,zekewest,8
Mercado,1,zekewest,7
Meteor,1,zekewest,7
Metro 2033: Breakthrough,1,zekewest,7
Metrorunner,1,zekewest,6
Mew-Tants RPG,1,zekewest,8
Miaui,1,zekewest,8
Microfilms,1,zekewest,5
Middara,1,zekewest,9
Millennia: Tracks of Time,1,zekewest,8
Miller Zoo,1,zekewest,7
Million Dollar Script,1,zekewest,6
Mind MGMT,1,zekewest,8
Mini Dinosaur,1,zekewest,3
Mini DiverCity,1,zekewest,8
Mini-Mysteries: The Medieval Mishap,1,zekewest,8
Missile Command,1,zekewest,5
Mission Control: Critical Orbit,1,zekewest,7
Mistborn: House War,1,zekewest,6
Mojo,1,zekewest,7
Moku Tower,1,zekewest,4
Moments,1,zekewest,5
Monster Chef,1,zekewest,7
Monster Pit,1,zekewest,7
Moonflight,1,zekewest,5
Morocco,1,zekewest,7
Mound Builders,1,zekewest,9
Mow Money,1,zekewest,7
Museum Heist,1,zekewest,7
Mutants Solo,1,zekewest,6
Muttin Bustin,1,zekewest,6
My City: Roll and Build,1,zekewest,6
My First Stone Age: The Card Game,1,zekewest,7
Narabi,1,zekewest,7
Narwhal Free For All,1,zekewest,6
Necromolds: Monster Battles,1,zekewest,8
Necronomicards,1,zekewest,3
