game_name,stars,mapped_ranking
Legendary Showdown,3.5,7
Life in Reterra,3.5,7
Lindisfarne,3.5,7
Line of Fire: Burnt Moon,3.5,7
Long Cow,3.5,7
Loose Caboose,3.5,7
Lost Woods,3.5,7
Mars Open,3.5,7
Marvel: Age of Heroes,3.5,7
Meeple Towers,3.5,7
Mercado,3.5,7
Meteor,3.5,7
Metro 2033: Breakthrough,3.5,7
Miller Zoo,3.5,7
Mission Control: Critical Orbit,3.5,7
Mojo,3.5,7
Monster Chef,3.5,7
Monster Pit,3.5,7
Morocco,3.5,7
Mow Money,3.5,7
Museum Heist,3.5,7
My First Stone Age: The Card Game,3.5,7
Narabi,3.5,7
Ninjitsu,3.5,7
Oboro Ninja Star Trick,3.5,7
oddball Aeronauts,3.5,7
Omen: Fires in the East,3.5,7
Operation F.A.U.S.T.,3.5,7
Palette Swap,3.5,7
Pasaraya,3.5,7
Pathfinder Adventure Card Game,3.5,7
Peninsula,3.5,7
Perfect Mismatch,3.5,7
Piece of Pie,3.5,7
Pitch Out,3.5,7
Plantopia: The Card Game,3.5,7
Plutocracy,3.5,7
Pocket Madness,3.5,7
Printing Press,3.5,7
Processing: A Game of Serving Humanity,3.5,7
Psycho Raiders,3.5,7
Q.E.,3.5,7
Quartermaster General: South Front,3.5,7
Rainforest City,3.5,7
Reality Shift: Deluxe,3.5,7
Remnants,3.5,7
Risky Adventure,3.5,7
Roar: King of the Pride,3.5,7
Robo Rally Transformers Edition,3.5,7
Rolled West,3.5,7
Rollet,3.5,7
Rome and Roll,3.5,7
RONE: Races of New Earth,3.5,7
Samurai Gardener,3.5,7
Sauria,3.5,7
Sea of Thieves: Voyage of Legends,3.5,7
Settlers of America – Trails to Rails,3.5,7
Shovel Knight: Dungeon Duels,3.5,7
Skull Canyon Ski Fest,3.5,7
Sobek 2 Player,3.5,7
Space Marine Adventures: Doomsday Countdown,3.5,7
Star Trek: Chrono-Trek,3.5,7
Steamwatchers,3.5,7
Steel Arena: Friday Night Robot Fight,3.5,7
Strawberry Shortcake: Berry Besties Bake Off,3.5,7
Streets of Steel,3.5,7
Stronghold: Undead Second Edition,3.5,7
Sunrise at the Studio,3.5,7
Sunset Over Water Pocket Edition,3.5,7
Super Mario: Level Up!,3.5,7
Super-Skill Pinball Holiday Special,3.5,7
Sushi Go! 10th Anniversary,3.5,7
Tales of Eventyr,3.5,7
Tasso Banana,3.5,7
The Battle in Balin’s Tomb,3.5,7
The Book of Rituals,3.5,7
The Butterfly Garden,3.5,7
The Cat Mitt Game,3.5,7
The Cohort,3.5,7
The Exiled: Siege,3.5,7
The Expanse,3.5,7
The Last of Us: Escape the Dark,3.5,7
The Liberation of Rietburg,3.5,7
The Perfect Wave,3.5,7
Time Barons,3.5,7
Tokyo Jidohanbaiki,3.5,7
Tokyo Washi Game Cops,3.5,7
Tower of Madness,3.5,7
