user,game_name,mapped_ranking
zekewest,Museum Heist,7
zekewest,My First Stone Age: The Card Game,7
zekewest,Narabi,7
zekewest,Ninjitsu,7
zekewest,Oboro Ninja Star Trick,7
zekewest,oddball Aeronauts,7
zekewest,Omen: Fires in the East,7
zekewest,Operation F.A.U.S.T.,7
zekewest,Palette Swap,7
zekewest,Pasaraya,7
zekewest,Pathfinder Adventure Card Game,7
zekewest,Peninsula,7
zekewest,Perfect Mismatch,7
zekewest,Piece of Pie,7
zekewest,Pitch Out,7
zekewest,Plantopia: The Card Game,7
zekewest,Plutocracy,7
zekewest,Pocket Madness,7
zekewest,Printing Press,7
zekewest,Processing: A Game of Serving Humanity,7
zekewest,Psycho Raiders,7
zekewest,Q.E.,7
zekewest,Quartermaster General: South Front,7
zekewest,Rainforest City,7
zekewest,Reality Shift: Deluxe,7
zekewest,Remnants,7
zekewest,Risky Adventure,7
zekewest,Roar: King of the Pride,7
zekewest,Robo Rally Transformers Edition,7
zekewest,Rolled West,7
zekewest,Rollet,7
zekewest,Rome and Roll,7
zekewest,RONE: Races of New Earth,7
zekewest,Samurai Gardener,7
zekewest,Sauria,7
zekewest,Sea of Thieves: Voyage of Legends,7
zekewest,Settlers of America – Trails to Rails,7
zekewest,Shovel Knight: Dungeon Duels,7
zekewest,Skull Canyon Ski Fest,7
zekewest,Sobek 2 Player,7
zekewest,Space Marine Adventures: Doomsday Countdown,7
zekewest,Star Trek: Chrono-Trek,7
zekewest,Steamwatchers,7
zekewest,Steel Arena: Friday Night Robot Fight,7
zekewest,Strawberry Shortcake: Berry Besties Bake Off,7
zekewest,Streets of Steel,7
zekewest,Stronghold: Undead Second Edition,7
zekewest,Sunrise at the Studio,7
zekewest,Sunset Over Water Pocket Edition,7
zekewest,Super Mario: Level Up!,7
zekewest,Super-Skill Pinball Holiday Special,7
zekewest,Sushi Go! 10th Anniversary,7
zekewest,Tales of Eventyr,7
zekewest,Tasso Banana,7
zekewest,The Battle in Balin’s Tomb,7
zekewest,The Book of Rituals,7
zekewest,The Butterfly Garden,7
zekewest,The Cat Mitt Game,7
zekewest,The Cohort,7
zekewest,The Exiled: Siege,7
zekewest,The Expanse,7
zekewest,The Last of Us: Escape the Dark,7
zekewest,The Liberation of Rietburg,7
zekewest,The Perfect Wave,7
zekewest,Time Barons,7
zekewest,Tokyo Jidohanbaiki,7
zekewest,Tokyo Washi Game Cops,7
zekewest,Tower of Madness,7
zekewest,Train & Railway,7
zekewest,Traveller Customizable Card Game,7
zekewest,Trickster: Champions of Time,7
zekewest,Unsolved Case Files,7
zekewest,V-Wars,7
zekewest,Vivo,7
zekewest,Warhammer Age of Sigmar: Beginner Set,7
zekewest,We Need to Talk,7
zekewest,What Came First?,7
zekewest,Wicked: The Game,7
zekewest,Wild Kratts Endangered Wildlife,7
zekewest,Woo-Hoo,7
zekewest,WWE Royal Rumble Card Game,7
zekewest,Zombie Tower 3D,7
zekewest,3 Wishes,6
zekewest,7-Card Slugfest,6
zekewest,Adulthood,6
zekewest,Aldr: The High Sage,6
zekewest,An Age Contrived,6
zekewest,Arctic,6
zekewest,Atari’s Centipede,6
